Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021
Kuwait,KWT,GDP per capita (current US$),29310.52211,27029.99778,29263.08965,32007.52354,30667.34822,24300.32944,
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),8223.39455,7909.628222,8729.183063,8384.845373,8181.622747,6789.39265,7728.033309
Lao PDR,LAO,GDP per capita (current US$),2125.459057,2309.049076,2439.463355,2553.361866,2598.505523,2593.355097,2535.623432
Lebanon,LBN,GDP per capita (current US$),7802.751368,8172.299476,8679.897422,9225.845155,8985.572499,5599.957523,4136.146347
Liberia,LBR,GDP per capita (current US$),699.6629469,722.1312268,706.892692,700.0370394,665.8784476,597.5296919,675.6631858
Libya,LBY,GDP per capita (current US$),7867.571893,7944.827076,10529.26744,11838.00962,10542.14929,7568.042011,6357.19555
St. Lucia,LCA,GDP per capita (current US$),10290.37891,10574.38891,11270.47161,11563.83747,11726.76977,8458.162761,9414.226231
Latin America & Caribbean,LCN,GDP per capita (current US$),8645.270953,8363.65857,9201.46648,8916.089485,8707.187368,7289.957037,8327.60519
Least developed countries: UN classification,LDC,GDP per capita (current US$),997.1322839,1021.787811,1114.923084,1073.320974,1100.027046,1095.770648,1164.918316
Low income,LIC,GDP per capita (current US$),765.6073981,782.2369267,853.5820306,749.9001604,741.3524349,727.6172144,783.813167
Liechtenstein,LIE,GDP per capita (current US$),167805.9569,165844.9854,170874.2938,175283.6318,167019.6181,157754.9544,
Sri Lanka,LKA,GDP per capita (current US$),4060.131785,4150.934408,4401.056075,4360.583634,4082.69462,3893.841515,4013.687657
Lower middle income,LMC,GDP per capita (current US$),2088.220787,2169.419723,2297.949456,2323.931742,2386.488589,2268.982746,2572.705144
Low & middle income,LMY,GDP per capita (current US$),4329.305028,4313.152654,4679.993245,4900.573676,4952.231133,4723.798867,5494.396981
Lesotho,LSO,GDP per capita (current US$),1113.871328,986.2659867,1062.712512,1161.7271,1102.56487,989.8471707,1094.098185
Late-demographic dividend,LTE,GDP per capita (current US$),8213.123373,8183.327047,9021.965927,9839.4686,9979.254112,9706.843103,11465.85777
Lithuania,LTU,GDP per capita (current US$),14263.96458,15008.31324,16885.40739,19186.35959,19595.14157,20339.52127,23723.34025
Luxembourg,LUX,GDP per capita (current US$),105462.0126,106899.2935,110193.2138,116786.5117,112621.8213,117370.4969,133590.147
Latvia,LVA,GDP per capita (current US$),13786.4568,14331.75159,15695.11515,17865.03109,17945.22222,18207.13964,21148.16294
"Macao SAR, China",MAC,GDP per capita (current US$),73220.26876,71918.73108,78985.64214,84923.38678,83183.16661,37646.3162,43873.59116
St. Martin (French part),MAF,GDP per capita (current US$),,,,,,,
Morocco,MAR,GDP per capita (current US$),3139.243652,3132.94458,3288.502197,3492.67334,3498.573975,3258.121338,3795.380127
Monaco,MCO,GDP per capita (current US$),170337.9244,174610.637,173612.8646,194280.8221,199377.4818,182538.6383,234315.4605
Moldova,MDA,GDP per capita (current US$),2731.065584,2879.391291,3509.64734,4232.206888,4493.370303,4500.624464,5230.661733
Madagascar,MDG,GDP per capita (current US$),455.6380397,464.6161535,503.4980587,512.5439846,512.2796597,462.4042237,500.511032
Maldives,MDV,GDP per capita (current US$),9434.331078,9640.324009,10062.98312,10823.63669,11118.55654,7282.358489,10366.29336
Middle East & North Africa,MEA,GDP per capita (current US$),7183.074513,7111.156241,7251.827736,7476.772457,7337.350935,6491.499128,7569.089437
Mexico,MEX,GDP per capita (current US$),9753.380048,8875.062256,9434.386487,9857.028829,10145.17018,8655.000682,10045.6805
Marshall Islands,MHL,GDP per capita (current US$),3703.649059,4153.117176,4507.622862,4769.190459,5188.971114,5567.972727,6172.145065
Middle income,MIC,GDP per capita (current US$),4720.150396,4709.368042,5116.240783,5384.002157,5448.65078,5206.168295,6074.084921
North Macedonia,MKD,GDP per capita (current US$),4861.553971,5149.589074,5450.492881,6108.740108,6070.388054,5965.450232,6694.641126
Mali,MLI,GDP per capita (current US$),723.5042025,750.0518281,795.682733,856.3565318,840.175765,822.906144,873.7948624
Malta,MLT,GDP per capita (current US$),24921.579,25624.46364,28823.52512,31567.94224,31198.24145,28977.56557,33486.67198
Myanmar,MMR,GDP per capita (current US$),1224.562343,1161.861778,1175.202557,1274.915657,1295.201448,1477.45287,1209.926942
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),3805.684009,3832.818509,3739.153088,3491.192578,3438.715899,3093.878473,3573.165173
Montenegro,MNE,GDP per capita (current US$),6517.163752,7033.604899,7803.411137,8850.092733,8909.653336,7677.152226,9465.703999
Mongolia,MNG,GDP per capita (current US$),3919.351148,3690.756716,3708.248223,4165.022739,4394.947147,4041.174196,4566.140154
Northern Mariana Islands,MNP,GDP per capita (current US$),17665.10075,24054.91561,30751.64107,25882.63359,23707.32881,,
Mozambique,MOZ,GDP per capita (current US$),594.2265335,430.9931688,462.7001369,504.53589,508.1636746,449.9552098,491.8391128
Mauritania,MRT,GDP per capita (current US$),1562.725248,1579.198554,1634.643606,1749.954236,1839.96445,1868.466574,2166.046799
Mauritius,MUS,GDP per capita (current US$),9509.934655,9967.881736,10844.03633,11645.98198,11405.72682,9007.419102,9106.237202
Malawi,MWI,GDP per capita (current US$),376.2462048,312.1427971,500.1655472,537.9322041,584.3628673,628.699482,634.8356601
Malaysia,MYS,GDP per capita (current US$),9699.584021,9555.651202,9979.800841,11074.06409,11132.02393,10160.78325,11109.26184
North America,NAC,GDP per capita (current US$),55452.42138,56312.43488,58423.88588,61174.77734,63198.70132,61451.97615,68369.66279
Namibia,NAM,GDP per capita (current US$),4965.68086,4614.881721,5453.570622,5687.399093,5126.176144,4251.172766,4865.557765
New Caledonia,NCL,GDP per capita (current US$),32428.58249,32286.91529,33874.92376,36312.72787,34797.51866,34800.75951,37159.54677
Niger,NER,GDP per capita (current US$),481.1112995,497.0361334,514.5433128,567.3308067,550.9635555,564.8220018,590.6294548
Nigeria,NGA,GDP per capita (current US$),2679.554765,2144.779938,1941.879485,2125.834282,2204.181574,2074.613928,2065.749068
Nicaragua,NIC,GDP per capita (current US$),2025.324776,2079.448266,2127.280585,1981.85912,1890.273065,1863.109257,2045.535402
Netherlands,NLD,GDP per capita (current US$),45193.40322,46039.10593,48675.22234,53044.53244,52476.27325,52162.57012,57767.87881
Norway,NOR,GDP per capita (current US$),74355.51586,70460.56053,75496.75406,82267.80932,75719.7529,67329.67779,89154.27609
Nepal,NPL,GDP per capita (current US$),882.3074488,880.2244881,1027.965486,1161.534374,1185.682675,1139.190277,1208.218534
Nauru,NRU,GDP per capita (current US$),7736.223636,8719.366526,9361.383343,10400.98907,9786.026526,9307.886768,10648.14139
New Zealand,NZL,GDP per capita (current US$),38630.72659,40058.19616,42924.9956,43250.44097,42865.23364,41596.5055,48781.02663
OECD members,OED,GDP per capita (current US$),35599.08004,36049.37851,37403.38787,39348.31436,39531.66035,38326.8576,42446.85932
Oman,OMN,GDP per capita (current US$),18777.43306,17082.2062,17802.57512,19887.57431,19132.15227,16707.62301,19509.46646
Other small states,OSS,GDP per capita (current US$),12502.09538,12087.12239,12894.07583,14062.50398,13540.40029,11683.18606,13878.81484
Pakistan,PAK,GDP per capita (current US$),1282.443153,1468.821421,1567.640986,1620.742857,1437.165907,1322.315036,1505.010193
Panama,PAN,GDP per capita (current US$),13669.55944,14382.23238,15185.97248,15588.33733,15826.08235,12569.17154,14617.60448
Peru,PER,GDP per capita (current US$),6180.194957,6163.791026,6676.284221,6912.110297,6955.809959,6056.343903,6621.574336
Philippines,PHL,GDP per capita (current US$),2974.299531,3038.149734,3077.43564,3194.674521,3413.847924,3224.422551,3460.530963
Palau,PLW,GDP per capita (current US$),15761.36338,16743.37674,16011.66115,15948.27586,15567.09087,14016.2475,12083.88815
Papua New Guinea,PNG,GDP per capita (current US$),2502.084291,2332.69748,2495.131383,2584.298769,2593.80465,2446.066306,2672.94579
Poland,POL,GDP per capita (current US$),12560.05142,12378.75944,13815.6218,15504.58048,15699.91135,15816.9894,17999.90995
Pre-demographic dividend,PRE,GDP per capita (current US$),1550.798612,1385.874037,1436.420704,1455.859757,1463.306586,1337.464153,1418.593326
Puerto Rico,PRI,GDP per capita (current US$),29763.4883,30627.1634,31108.76057,31615.06679,32916.8668,31393.90737,32640.71034
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),,,,,,,
Portugal,PRT,GDP per capita (current US$),19250.10654,19991.97249,21490.42986,23562.55452,23330.81729,22242.40642,24567.50927
Paraguay,PRY,GDP per capita (current US$),5861.401895,5759.042198,6136.058301,6242.961454,5807.838794,5353.348065,5891.499965
West Bank and Gaza,PSE,GDP per capita (current US$),3272.154324,3527.613824,3620.360487,3562.330943,3656.858271,3233.568638,3663.969055
Pacific island small states,PSS,GDP per capita (current US$),3724.591674,3867.741699,4128.474923,4283.741566,4233.413675,3707.310581,3643.845437
Post-demographic dividend,PST,GDP per capita (current US$),40638.37581,41369.93372,42968.44781,45382.30693,45700.93813,44474.54975,49223.59503
French Polynesia,PYF,GDP per capita (current US$),18252.51997,18726.64225,19743.95491,20614.89886,20023.5047,18910.38013,19914.60351
