Country Name,Country Code,Indicator Name,2016,2017,2018,2019,2020,2021
Singapore,SGP,GDP (current US$),3.18832E+11,3.43193E+11,3.76998E+11,3.75473E+11,3.45296E+11,3.96987E+11
Solomon Islands,SLB,GDP (current US$),1379482147,1469787256,1615479409,1619154819,1536148246,1631486532
Sierra Leone,SLE,GDP (current US$),3674794530,3719369107,4085114794,4076578543,4063289450,4042237864
El Salvador,SLV,GDP (current US$),24191430000,24979190000,26020850000,26881140000,24563020000,28736940000
San Marino,SMR,GDP (current US$),1468377272,1528630707,1655300873,1616188702,1541204338,
Somalia,SOM,GDP (current US$),5534000000,5609000000,5856000006,6485000000,6883000000,7628000011
Serbia,SRB,GDP (current US$),40692643373,44179055280,50640650221,51514222382,53356480454,63082047650
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),1.57847E+12,1.71117E+12,1.78072E+12,1.80168E+12,1.71775E+12,1.9276E+12
South Sudan,SSD,GDP (current US$),,,,,,
Sub-Saharan Africa,SSF,GDP (current US$),1.57996E+12,1.71275E+12,1.78236E+12,1.80336E+12,1.71901E+12,1.92905E+12
Small states,SST,GDP (current US$),4.46925E+11,4.8279E+11,5.29991E+11,5.21528E+11,4.53728E+11,5.38706E+11
Sao Tome and Principe,STP,GDP (current US$),345495615,375614126.2,412253809.7,427425039.7,472551022.5,526653790.7
Suriname,SUR,GDP (current US$),3317437626,3591660724,3996204757,4016040575,2911807496,2984706244
Slovak Republic,SVK,GDP (current US$),89952699525,95649966261,1.06138E+11,1.0572E+11,1.06697E+11,1.16527E+11
Slovenia,SVN,GDP (current US$),44766722791,48589100043,54177882426,54331588482,53706800044,61748586535
Sweden,SWE,GDP (current US$),5.15655E+11,5.41019E+11,5.55455E+11,5.3388E+11,5.47054E+11,6.35664E+11
Eswatini,SWZ,GDP (current US$),3816022047,4402969226,4665237415,4495264161,3982226055,4743335153
Sint Maarten (Dutch part),SXM,GDP (current US$),1263687151,1191620112,1185474860,,,
Seychelles,SYC,GDP (current US$),1490228319,1573433081,1636312010,1684373490,1261198524,1454458184
Syrian Arab Republic,SYR,GDP (current US$),12598742887,16369724433,21351730539,22443299775,11079795397,
Turks and Caicos Islands,TCA,GDP (current US$),1032452000,1022365000,1113178000,1197415000,924583000,943269800
Chad,TCD,GDP (current US$),10097778354,10000395242,11239167048,11314951343,10715396135,11779980802
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),1.35948E+13,1.48581E+13,1.6619E+13,1.71857E+13,1.74644E+13,2.07252E+13
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),3.48544E+12,3.90931E+12,4.07695E+12,4.15804E+12,3.89172E+12,4.55039E+12
Togo,TGO,GDP (current US$),6031632168,6395472574,7112200725,7220395248,7574636979,8413200568
Thailand,THA,GDP (current US$),4.13366E+11,4.56357E+11,5.06755E+11,5.44081E+11,4.99682E+11,5.05947E+11
Tajikistan,TJK,GDP (current US$),6992393787,7536439875,7765014424,8300784857,8133996648,8746270636
